Scan,Scan_20201202_185259.csv
Mode,ABS
Lower,400
Upper,650
Length,251
,,
wavelength(nm) , ABS , %T
400.0,0.333,46.45
401.0,0.331,46.67
402.0,0.330,46.77
403.0,0.329,46.88
404.0,0.328,46.99
405.0,0.328,46.99
406.0,0.328,46.99
407.0,0.328,46.99
408.0,0.329,46.88
409.0,0.330,46.77
410.0,0.332,46.56
411.0,0.334,46.34
412.0,0.336,46.13
413.0,0.338,45.92
414.0,0.340,45.71
415.0,0.343,45.39
416.0,0.346,45.08
417.0,0.349,44.77
418.0,0.352,44.46
419.0,0.355,44.16
420.0,0.359,43.75
421.0,0.362,43.45
422.0,0.367,42.95
423.0,0.371,42.56
424.0,0.374,42.27
425.0,0.378,41.88
426.0,0.382,41.50
427.0,0.386,41.11
428.0,0.390,40.74
429.0,0.394,40.36
430.0,0.398,39.99
431.0,0.403,39.54
432.0,0.407,39.17
433.0,0.411,38.82
434.0,0.416,38.37
435.0,0.421,37.93
436.0,0.425,37.58
437.0,0.429,37.24
438.0,0.433,36.90
439.0,0.438,36.48
440.0,0.443,36.06
441.0,0.447,35.73
442.0,0.452,35.32
443.0,0.457,34.91
444.0,0.461,34.59
445.0,0.466,34.20
446.0,0.471,33.81
447.0,0.476,33.42
448.0,0.481,33.04
449.0,0.486,32.66
450.0,0.491,32.28
451.0,0.496,31.92
452.0,0.501,31.55
453.0,0.506,31.19
454.0,0.511,30.83
455.0,0.517,30.41
456.0,0.522,30.06
457.0,0.528,29.65
458.0,0.534,29.24
459.0,0.539,28.91
460.0,0.545,28.51
461.0,0.550,28.18
462.0,0.556,27.80
463.0,0.563,27.35
464.0,0.569,26.98
465.0,0.575,26.61
466.0,0.581,26.24
467.0,0.587,25.88
468.0,0.594,25.47
469.0,0.601,25.06
470.0,0.607,24.72
471.0,0.614,24.32
472.0,0.620,23.99
473.0,0.627,23.60
474.0,0.634,23.23
475.0,0.641,22.86
476.0,0.647,22.54
477.0,0.654,22.18
478.0,0.660,21.88
479.0,0.667,21.53
